"","date","B1_cv","B2_cv","B3_cv","B4_cv","B1_glcm_contrast_std","B1_glcm_homogeneity_std","B1_glcm_dissimilarity_std","B1_glcm_entropy_std","B1_glcm_ASM_std","B2_glcm_contrast_std","B2_glcm_homogeneity_std","B2_glcm_dissimilarity_std","B2_glcm_entropy_std","B2_glcm_ASM_std","B3_glcm_contrast_std","B3_glcm_homogeneity_std","B3_glcm_dissimilarity_std","B3_glcm_entropy_std","B3_glcm_ASM_std","B4_glcm_contrast_std","B4_glcm_homogeneity_std","B4_glcm_dissimilarity_std","B4_glcm_entropy_std","B4_glcm_ASM_std","B1_window_3","B1_window_5","B1_window_7","B1_window_9","B2_window_3","B2_window_5","B2_window_7","B2_window_9","B3_window_3","B3_window_5","B3_window_7","B3_window_9","B4_window_3","B4_window_5","B4_window_7","B4_window_9","site"
"1",20240408,0.0433826207794805,0.0554029151448328,0.0532165371586986,0.0760397695082839,9.28839329763943,0.13226831560722,1.08738695063433,0.213196928669351,0.0489409435340497,7.87367804661434,0.123566555867416,0.986566008669004,0.182836585850156,0.0348716951328953,12.6436306979586,0.127241897369314,1.27600865363506,0.180105110624239,0.0382665403463703,5.54915486196159,0.122053503909698,0.827135023697596,0.209191020704143,0.0429961632245791,1.24386552494371,1.38945165284016,1.44757817770751,1.43882208602169,1.0398087557914,1.08520657834976,1.24130284385274,1.42606416742391,1.82896211780671,1.85904313414142,1.85908625898009,1.83034690322313,1.77000628303443,2.31973521949695,2.66944177374329,2.81113634853242,"site1"
"2",20240513,0.105346850905312,0.119813401711257,0.0985611548116124,0.093614963630683,9.14805147014249,0.133512851530568,1.07472692049759,0.239315982439689,0.0568204458718864,11.3979887110816,0.121403110252274,1.15213289803937,0.222737189103381,0.0509125317101625,9.92690661842136,0.143336649127481,1.13647972740216,0.233215773353857,0.0527396742852174,11.3698917657144,0.161054664406126,1.32604027064914,0.277169644682788,0.0789125790340814,1.66613109717419,2.03169704453566,2.15171852424458,2.13850761853861,0.850414269299619,0.845907814702987,0.848308020557684,0.866935169714292,2.65718531176619,3.44095639537027,3.75839893426944,3.76811614358772,3.64124672769135,4.89880154756752,5.48586579558374,5.66731982733993,"site1"
"3",20240709,0.135581560754334,0.220815873722901,0.124911717346223,0.0732001081044979,6.77939390223789,0.150046905578409,0.985203454380293,0.27897209464884,0.0690544679981239,8.11377749367597,0.173013893848056,1.16627524667756,0.316981715220589,0.0898395797079798,6.20659893077112,0.144004579425406,0.938848558619748,0.263038030916932,0.0600600313994682,7.76671329329389,0.14928110275942,1.06705354965747,0.240260304952167,0.0543669747468293,1.65098133070501,2.28124135272461,2.55686280920484,2.61774671956053,1.67909622677629,2.4548343228717,2.91624238148158,3.11507303891149,2.38754312149579,3.27180220150261,3.67494728415042,3.7803793882915,2.97337564025888,3.95944064128164,4.34759732580291,4.42838861917793,"site1"
"4",20240812,0.14707788725452,0.135578094292507,0.11152390152068,0.111635624009051,8.0128016283783,0.169474679332286,1.13465215557016,0.336586543203912,0.0910822496556673,4.95531015546606,0.144711444782337,0.822606942104126,0.28297846760979,0.0810478161194012,5.2080976918482,0.151773379611822,0.861928770381874,0.294334065244194,0.0745321792003252,10.6249343552573,0.167512115876962,1.31576890532993,0.282525165144144,0.070176505764742,1.74252872733727,2.42564586635338,2.7259424964689,2.79182157521308,0.772505753347235,1.06001095229957,1.24314560085817,1.3297738343247,1.09140885388549,1.46243415488101,1.65111139468403,1.71682895995929,4.09764517291721,5.75113112279067,6.49582390103604,6.64741345504143,"site1"
"11",20240408,0.0357091582638317,0.0601918097030497,0.0443932066290863,0.0927048815901365,3.26217809077397,0.14796200203548,0.666232316639258,0.323904165841564,0.0892548752927226,3.08027798180439,0.155487807024188,0.642442317912014,0.364735009743569,0.10964848489256,7.40356987189993,0.118959411542022,0.929569531872818,0.192883095505814,0.0444846825331524,4.70958688811848,0.160473014305171,0.835101566608308,0.316490318255988,0.0834162546994051,1.2833196513822,1.5840187425227,1.8549484655167,2.08820230792627,1.65639255496484,2.27421284483334,2.83556408575672,3.34397759323891,2.11436520609474,2.27960549706964,2.45831403713083,2.6272086967399,2.98616232493619,4.39598428953583,5.48270683196598,6.23528495245329,"site10"
"21",20240513,0.0948209271154832,0.260816748596316,0.07728487130181,0.12895622288152,3.2882923596632,0.148415650504605,0.626944590590113,0.362978224842263,0.109828923741726,4.63218537681949,0.185923781983534,0.798002397439534,0.484298239959123,0.174174590239559,3.49081792309627,0.155869102559113,0.6906122716936,0.359376397640744,0.114249390408771,4.92361225956078,0.181005175662744,0.904610744818913,0.36679203241007,0.103696904815022,1.79542915680017,2.4938966335302,3.03956218744037,3.49103696222228,2.71058242677933,4.10653278348047,5.2302594129188,6.15754438782189,2.25310563186406,2.80463139627274,3.22973082688407,3.58935222360468,4.50778703743598,6.66539866763211,8.2797354921642,9.39172085703852,"site10"
"31",20240709,0.110100528207763,0.231390410184652,0.0901007259101882,0.113772062602658,5.21720354117694,0.176886838354035,0.882400108100812,0.385382942146567,0.116959399130626,4.88805941370271,0.214303162049098,0.929311346067707,0.543650481980514,0.199602403659649,3.80010230023766,0.14663324976509,0.697903780128134,0.337419801275801,0.100190240759996,5.01961610248045,0.162325944513725,0.837356613586753,0.333730845057461,0.0901376921240117,1.99495641444472,2.85717035783125,3.46388304138802,3.91111021419685,3.02482201177649,4.60002998671093,5.74628002062183,6.60157070567305,2.51352569271765,3.47329010823455,4.20665116080923,4.77580011712934,3.55089302782784,4.95075158208815,5.82090176740883,6.39744490653619,"site10"
"41",20240812,0.106861740837907,0.175383818346867,0.105451994516932,0.116640576035981,5.89363672699139,0.186872400877249,0.96127684846225,0.418416026249948,0.135761005419248,4.91812261288187,0.178705712880199,0.863292033759748,0.39426350832396,0.113943898892021,4.29330503728223,0.173257920232191,0.803419217077107,0.396021928945202,0.125676911603024,4.61439559280333,0.182849643679062,0.85277411325172,0.423636823406682,0.134131849060373,1.91046589667049,2.78079562038866,3.38850298423099,3.82703172352072,2.30625924725744,3.51966867433839,4.47892415429917,5.25523320897803,1.80793461599885,2.73909334668728,3.50025109117065,4.120637036173,4.03668182044079,5.71224163008035,6.74805240711108,7.40643921354398,"site10"
"12",20240408,0.0745109960106649,0.110490968247664,0.0618314652138409,0.0930453555754647,2.76828262015418,0.156038115393218,0.607374727945922,0.413856418211402,0.146719145709547,2.8813619136962,0.163168074352502,0.626473498109545,0.468531005798473,0.176505684811279,4.66539056552709,0.137552551608296,0.756692695705043,0.262458509309144,0.0676254150293232,6.95050649018266,0.159908265954512,1.02650243823999,0.316895478893676,0.0891647604048222,1.73187426403107,2.36968439439273,2.9425335227373,3.4428421411731,2.27121874339816,3.36369337503725,4.23796897626844,4.92947505621177,2.17345509361055,2.46376656761237,2.67349752371146,2.81405518920814,3.5762520241988,5.27621485583386,6.42118485250335,7.1210443483399,"site11"
"22",20240513,0.170871988372042,0.376895639485864,0.102158733639639,0.13034408818899,3.91514390969333,0.172904716988592,0.713081343847983,0.508764659529438,0.195974547561282,4.24710621017673,0.178974253816831,0.766422263811599,0.511113824582713,0.200176308575505,3.1416004558264,0.17036626781328,0.68385879184086,0.421061112459824,0.136818581121738,6.88186496781756,0.18375862995646,1.08531211158022,0.364670192913051,0.103211415836855,2.50926190041215,3.69163728042633,4.60469240924332,5.32601429946318,3.43874594838408,5.24443759501584,6.60167987080945,7.62830264514127,2.59299376568436,3.3782763471155,3.92568075777927,4.29827385996521,5.34992623943323,8.05552634091162,9.93803896000377,11.1627891327407,"site11"
