"predictor","agg","prop_same_sign_shannon","prop_same_sign_turnover","prop_same_sign_richness","mean_diff_shannon","mean_diff_turnover","mean_diff_richness","rank_ss_S","rank_ss_T","rank_ss_R","ranksum_ss_X","rank_delta_S","rank_delta_T","rank_delta_R","ranksum_delta_X","ranksum"
"B1_CV","agg1",0.333333333333333,NA,0.333333333333333,-1.72887114010737,0,-0.8825,52,NA,59,111,110,74.5,73,257.5,368.5
"B1_CV","agg2",0.333333333333333,NA,0.333333333333333,-2.20447114010737,0,-1.7309,52,NA,59,111,100,74.5,42,216.5,327.5
"B1_CV","agg4",0.333333333333333,NA,0.333333333333333,-2.08947114010737,0,-1.6475,52,NA,59,111,105,74.5,44,223.5,334.5
"B1_RaoQ_w3","agg1",0.666666666666667,1,0.333333333333333,1.86721635963103,2.09965913978495,-5.2525,113,16.5,59,188.5,108,19,7,134,322.5
"B1_RaoQ_w3","agg2",0.666666666666667,1,0.333333333333333,6.17431635963102,7.22122580645161,-2.0318,113,16.5,59,188.5,51,12,38,101,289.5
"B1_RaoQ_w3","agg4",0.666666666666667,1,0.333333333333333,16.630966359631,17.4255258064516,6.6293,113,16.5,59,188.5,7,5,6,18,206.5
"B1_RaoQ_w5","agg1",0.333333333333333,NA,0.333333333333333,-14.0251711401074,0,-2.9914,52,NA,59,111,9,74.5,22,105.5,216.5
"B1_RaoQ_w5","agg2",0.333333333333333,NA,0.333333333333333,-13.6097711401074,0,-2.6125,52,NA,59,111,10,74.5,30,114.5,225.5
"B1_RaoQ_w5","agg4",0.333333333333333,NA,0.333333333333333,-10.7998711401074,0,-1.7732,52,NA,59,111,20,74.5,41,135.5,246.5
"B1_RaoQ_w7","agg1",0.333333333333333,NA,0.333333333333333,-13.6032711401074,0,-2.2424,52,NA,59,111,11,74.5,35,120.5,231.5
"B1_RaoQ_w7","agg2",0.333333333333333,NA,0.333333333333333,-11.7341711401074,0,-0.960999999999999,52,NA,59,111,16,74.5,70,160.5,271.5
