"predictor","Type","prop_same_sign_shannon","prop_same_sign_turnover","prop_same_sign_richness","mean_diff_shannon","mean_diff_turnover","mean_diff_richness","rank_ss_S","rank_ss_T","rank_ss_R","ranksum_ss_X","rank_delta_S","rank_delta_T","rank_delta_R","ranksum_delta_X","ranksum"
"B1_CV","ext_prox",0.272727272727273,NA,0.272727272727273,0.207037213947517,0,2.58893333333333,60,NA,65,125,96,140.5,34,270.5,395.5
"B1_CV","int_cit",0.333333333333333,NA,0.333333333333333,-0.0546600082195901,0,1.943,75,NA,91,166,142,140.5,69,351.5,517.5
"B1_CV","int_prox",0.125,NA,0.25,-0.06212378852676,0,1.9089,16,NA,36,52,140,140.5,74,354.5,406.5
"B1_CV","semi_nat",0.375,NA,0.25,0.0823707384288001,0,4.4076,107,NA,36,143,131,140.5,14,285.5,428.5
"B1_RaoQ_w3","ext_prox",0.363636363636364,0.0909090909090909,0.272727272727273,1.53090433276212,7.67046153846154,1.7259,93,7.5,65,165.5,19,8,87,114,279.5
"B1_RaoQ_w3","int_cit",0.666666666666667,0.333333333333333,0.333333333333333,-0.30859699606514,-0.179304347826087,1.2976,145,62.5,91,298.5,75,103,110,288,586.5
"B1_RaoQ_w3","int_prox",0.125,NA,0.25,-0.89522378852676,0,-0.0344500000000001,16,NA,36,52,43,140.5,153,336.5,388.5
"B1_RaoQ_w3","semi_nat",0.125,0.25,0.25,0.00192444502395994,0.695777513227514,1.7964,16,48.5,36,100.5,162,40,81,283,383.5
"B1_RaoQ_w5","ext_prox",0.363636363636364,0.0909090909090909,0.272727272727273,1.69327933276212,9.75756153846154,1.31033333333333,93,7.5,65,165.5,11,5,108,124,289.5
"B1_RaoQ_w5","int_cit",0.666666666666667,0.333333333333333,0.333333333333333,-0.00924699606514012,-0.050404347826087,1.7674,145,62.5,91,298.5,159,114,84,357,655.5
"B1_RaoQ_w5","int_prox",0.125,NA,0.25,-1.28252378852676,0,-0.9643,16,NA,36,52,25,140.5,125,290.5,342.5
"B1_RaoQ_w5","semi_nat",0.25,0.125,0.375,-0.26199425317195,1.99811428571429,2.49656666666667,43,25,122,190,81,22,36,139,329
"B1_RaoQ_w7","ext_prox",0.363636363636364,0.0909090909090909,0.272727272727273,2.02617933276212,11.5154615384615,1.23013333333333,93,7.5,65,165.5,9,3,115,127,292.5
"B1_RaoQ_w7","int_cit",0.333333333333333,0.666666666666667,NA,0.37936601608931,0.0929978260869566,0,75,98.5,NA,173.5,71,109,162.5,342.5,516
"B1_RaoQ_w7","int_prox",0.125,NA,0.25,-1.54972378852676,0,-1.3041,16,NA,36,52,18,140.5,109,267.5,319.5
"B1_RaoQ_w7","semi_nat",0.25,0.125,0.375,-0.50314425317195,2.34731428571429,2.4522,43,25,122,190,58,18,38,114,304
"B1_RaoQ_w9","ext_prox",0.363636363636364,0.0909090909090909,0.272727272727273,2.39955433276212,13.0125615384615,1.2595,93,7.5,65,165.5,6,1,113,120,285.5
"B1_RaoQ_w9","int_cit",0.333333333333333,0.666666666666667,NA,0.45416601608931,0.240597826086956,0,75,98.5,NA,173.5,64,93,162.5,319.5,493
"B1_RaoQ_w9","int_prox",0.125,NA,0.25,-1.95892378852676,0,-1.38925,16,NA,36,52,10,140.5,105,255.5,307.5
"B1_RaoQ_w9","semi_nat",0.25,0.125,0.375,-0.68154425317195,2.64521428571429,2.43256666666667,43,25,122,190,52,16,39,107,297
