"predictor","prop_same_sign_shannon","prop_same_sign_turnover","prop_same_sign_richness","n_sites_shannon","mean_diff_shannon","median_diff_shannon","n_sites_turnover","mean_diff_turnover","median_diff_turnover","n_sites_richness","mean_diff_richness","median_diff_richness"
"B1_CV",0.266666666666667,0.5,0.266666666666667,8,0.093930007547825,-0.0348561148687798,15,0.294201013544419,0.20399230769231,8,2.79285,1.93455
"B1_RaoQ_w3",0.266666666666667,0.566666666666667,0.266666666666667,8,0.576640499426927,-0.301372842618655,17,-0.029929446253377,-0.52546666666667,8,1.2499,0.6306
"B1_RaoQ_w5",0.3,0.6,0.3,9,0.549790116005284,-0.30437454512994,18,-0.384614944853335,-0.97208717948718,9,1.25105555555556,0.4652
"B1_RaoQ_w7",0.266666666666667,0.6,0.266666666666667,8,0.741008881533394,-0.50314425317195,18,-0.515870500408891,-1.17323717948718,8,1.05485,0.28695
"B1_RaoQ_w9",0.266666666666667,0.6,0.266666666666667,8,0.841296381533394,-0.68154425317195,18,-0.551531611520002,-1.27648717948718,8,1.0372125,0.38265
"B1_glcm_ASM",0.3,0.566666666666667,0.233333333333333,9,0.0492829455332655,-0.04162378852676,17,0.244901366071553,0.2169,7,1.54405714285714,1.915
"B1_glcm_contrast",0.6,0.5,0.466666666666667,18,0.858110030860135,0.29831348691546,15,1.37148006452619,0.636305882352942,14,-2.91269285714286,-2.3735
"B1_glcm_dissimilarity",0.433333333333333,0.566666666666667,0.333333333333333,13,-0.0664055157708108,-0.0292683490247801,17,0.1340661557726,0.1773,10,-3.47471,-2.9472
"B1_glcm_entropy",0.3,0.5,0.2,9,0.0300379491359711,-0.05524267292014,15,0.278287162249514,0.23079230769231,6,2.2568,1.90335
"B1_glcm_homogeneity",0.333333333333333,0.466666666666667,0.233333333333333,10,0.034687803049201,-0.01097097564492,14,0.328186245267337,0.31131674208145,7,0.984642857142857,1.9656
"B2_CV",0.266666666666667,0.5,0.266666666666667,8,0.036517507547825,-0.0569561148687798,15,0.214387680211085,0.14559230769231,8,2.737175,1.8744
"B2_RaoQ_w3",0.233333333333333,0.533333333333333,0.266666666666667,7,0.223408282760873,-0.92266000821959,16,-0.655412536644213,-1.19948333333334,8,0.9344375,-0.12665
"B2_RaoQ_w5",0.266666666666667,0.566666666666667,0.3,8,0.0429806284947814,-0.977667781597815,17,-1.16235111808,-1.63726666666667,9,0.865677777777778,0.1666
"B2_RaoQ_w7",0.266666666666667,0.566666666666667,0.3,8,0.144730628494782,-1.13526778159781,17,-1.33643935337412,-1.77296666666667,9,0.752222222222222,0.528
"B2_RaoQ_w9",0.266666666666667,0.566666666666667,0.3,8,0.338780628494781,-1.15791778159781,17,-1.34340994160941,-1.78326666666667,9,0.7624,0.8768
"B2_glcm_ASM",0.3,0.566666666666667,0.266666666666667,9,-0.14468888948546,-0.0450943107940502,17,0.151270406319231,0.1474,8,-1.0443125,1.3788
"B2_glcm_contrast",0.5,0.533333333333333,0.4,15,1.34771060219104,0.47683165097522,16,1.27051760251011,-0.3081,12,-1.06013333333333,-1.75035
"B2_glcm_dissimilarity",0.433333333333333,0.6,0.333333333333333,13,-0.0129973160059162,-0.10127114010737,18,0.138804543943964,0.112937719298246,10,-0.44319,-0.0552
"B2_glcm_entropy",0.266666666666667,0.533333333333333,0.2,8,-0.0668703600129362,-0.0555778121439998,16,0.232098819872078,0.19816674208145,6,1.8627,1.82815
"B2_glcm_homogeneity",0.3,0.5,0.233333333333333,9,0.0625958416407301,0.00397621147323998,15,0.324302600846006,0.2953,7,2.54175714285714,1.9601
"B3_CV",0.266666666666667,0.5,0.266666666666667,8,0.118630007547825,-0.00821153344822999,15,0.330021013544419,0.23814117647059,8,2.8220625,1.95195
"B3_RaoQ_w3",0.3,0.6,0.3,9,0.267767893783062,-0.21347114010737,18,-0.065581611520002,-0.34027857142857,9,1.6881,0.8073
"B3_RaoQ_w5",0.3,0.6,0.3,9,-0.0468876617724935,-0.75391295136786,18,-0.485092722631113,-0.9187,9,1.29836666666667,0.3912
"B3_RaoQ_w7",0.333333333333333,0.566666666666667,0.333333333333333,10,-0.26467819397079,-1.22210296756166,17,-0.69716204244975,-1.4517,10,0.30444,0.3924
"B3_RaoQ_w9",0.4,0.566666666666667,0.333333333333333,12,-0.226384952795293,-0.840583764442698,17,-0.756354759536585,-1.5183,10,0.0729399999999999,0.1756
"B3_glcm_ASM",0.333333333333333,0.6,0.3,10,0.021606702414061,0.00456676927655,18,0.228304052519323,0.2441,9,0.4387,1.9594
"B3_glcm_contrast",0.7,0.466666666666667,0.6,21,0.920240812767884,0.65959586343299,14,1.52096617968199,0.850483333333334,18,-3.19572777777778,-1.81505
"B3_glcm_dissimilarity",0.6,0.566666666666667,0.5,18,-0.211723046190476,-0.23190477142717,17,0.0897452129888825,-0.022966666666667,15,-3.92970666666667,-2.9779
"B3_glcm_entropy",0.3,0.566666666666667,0.333333333333333,9,0.00704589812315222,-0.00841295136785966,17,0.244185620826087,0.2172,10,0.47634,1.4395
"B3_glcm_homogeneity",0.4,0.533333333333333,0.366666666666667,12,-0.0694948025953858,-0.00152574147441496,16,0.235491571972919,0.20686282051282,11,-1.27493636363636,0.9898
"B4_CV",0.333333333333333,0.5,0.4,10,-0.131085223768989,-0.0387418983731751,15,0.2576331053123,0.2404,12,-1.43285833333333,0.93465
"B4_RaoQ_w3",0.233333333333333,0.6,0.266666666666667,7,-0.838868632415973,-0.82052378852676,18,-0.388079272338715,-0.437579411764705,8,0.6670125,0.623
"B4_RaoQ_w5",0.266666666666667,0.633333333333333,0.266666666666667,8,-0.973639301352812,-1.1962996717514,19,-0.585032994847204,-0.4548,8,0.2022,0.05965
"B4_RaoQ_w7",0.266666666666667,0.633333333333333,0.266666666666667,8,-0.782551801352813,-1.2676996717514,19,-0.547038258005099,-0.2382,8,0.0965999999999999,0.27065
"B4_RaoQ_w9",0.333333333333333,0.566666666666667,0.266666666666667,10,-0.530808052328268,-0.81387121245512,17,-0.553141358386651,-0.5062,8,-0.88135,-0.44755
"B4_glcm_ASM",0.5,0.5,0.366666666666667,15,-0.13877724085785,-0.0286943107940502,15,0.186462642780908,0.12633333333333,11,-1.55365454545455,-0.9979
"B4_glcm_contrast",0.433333333333333,0.433333333333333,0.366666666666667,13,-0.414748823473258,-0.1038668699342,13,0.693363844755176,0.13778571428571,11,-2.52616363636364,-2.2414
"B4_glcm_dissimilarity",0.366666666666667,0.5,0.3,11,-0.176814058643525,-0.16834618089973,15,0.261465799692797,0.220833333333333,9,-1.63408888888889,-0.8348
"B4_glcm_entropy",0.5,0.466666666666667,0.366666666666667,15,-0.145250574191184,-0.0357943107940503,14,0.166067117265259,0.104716666666665,11,-1.56598181818182,-0.9987
"B4_glcm_homogeneity",0.533333333333333,0.433333333333333,0.5,16,-0.156628465589578,-0.0662666311401951,13,0.239800543096923,0.28079230769231,15,-1.87295333333333,-0.9931
