"agg","independent_var","dependent_var","pearson_r","p_value","n"
"agg1","bare.soil","B1_CV",-0.0949759011178839,0.807965203235451,9
"agg1","bare.soil","B1_RaoQ_w3",-0.0306212085415547,0.93766770904087,9
"agg1","bare.soil","B1_RaoQ_w5",-0.612493349371397,0.0795259663584519,9
"agg1","bare.soil","B1_RaoQ_w7",-0.607198698402694,0.0828982299515433,9
"agg1","bare.soil","B1_RaoQ_w9",-0.631050373017946,0.0683844922213364,9
"agg1","bare.soil","B1_glcm_ASM",-0.446781827656988,0.227956628684453,9
"agg1","bare.soil","B1_glcm_contrast",0.49893155213068,0.171532868075158,9
"agg1","bare.soil","B1_glcm_dissimilarity",-0.430304009639056,0.247636378971584,9
"agg1","bare.soil","B1_glcm_entropy",-0.479538779491265,0.191468416233206,9
"agg1","bare.soil","B1_glcm_homogeneity",-0.43676075370845,0.239820123516606,9
"agg1","bare.soil","B2_CV",-0.0102510789913021,0.979118502040547,9
"agg1","bare.soil","B2_RaoQ_w3",-0.346945715091763,0.360321265674315,9
"agg1","bare.soil","B2_RaoQ_w5",0.207716442382986,0.591764291575705,9
"agg1","bare.soil","B2_RaoQ_w7",-0.328767411775544,0.38767186350946,9
"agg1","bare.soil","B2_RaoQ_w9",-0.264099125460587,0.492279946625507,9
"agg1","bare.soil","B2_glcm_ASM",-0.827022787496105,0.00595812824624459,9
"agg1","bare.soil","B2_glcm_contrast",-0.0560167466166818,0.886181602194319,9
"agg1","bare.soil","B2_glcm_dissimilarity",-0.507452824374757,0.16316640288645,9
"agg1","bare.soil","B2_glcm_entropy",-0.82536968107585,0.0061492683083046,9
"agg1","bare.soil","B2_glcm_homogeneity",-0.50029597485751,0.170177082593848,9
"agg1","bare.soil","B3_CV",-0.0404168443858031,0.917775480402605,9
"agg1","bare.soil","B3_RaoQ_w3",-0.29754128962721,0.436810100665334,9
"agg1","bare.soil","B3_RaoQ_w5",-0.336663269531517,0.375675578182421,9
"agg1","bare.soil","B3_RaoQ_w7",0.22390856317134,0.562487134742649,9
"agg1","bare.soil","B3_RaoQ_w9",-0.303991291188776,0.426443387213518,9
"agg1","bare.soil","B3_glcm_ASM",-0.831941255274179,0.00541344358973996,9
"agg1","bare.soil","B3_glcm_contrast",-0.353296360587554,0.350991762582985,9
"agg1","bare.soil","B3_glcm_dissimilarity",-0.835937049654042,0.00499677437331284,9
"agg1","bare.soil","B3_glcm_entropy",-0.831253281860589,0.0054874979011547,9
"agg1","bare.soil","B3_glcm_homogeneity",-0.834171158485112,0.00517810681730609,9
"agg1","bare.soil","B4_CV",-0.0504502555045081,0.897441325039985,9
"agg1","bare.soil","B4_RaoQ_w3",-0.116440605988442,0.765452988583317,9
"agg1","bare.soil","B4_RaoQ_w5",-0.162591323147715,0.675982087541695,9
"agg1","bare.soil","B4_RaoQ_w7",-0.173435219285499,0.655417694457221,9
"agg1","bare.soil","B4_RaoQ_w9",0.288971523094643,0.45075322728327,9
"agg1","bare.soil","B4_glcm_ASM",-0.73922158750497,0.0228521872353641,9
"agg1","bare.soil","B4_glcm_contrast",-0.657235423775793,0.0544130563082052,9
"agg1","bare.soil","B4_glcm_dissimilarity",-0.7138946618443,0.0307592911758079,9
"agg1","bare.soil","B4_glcm_entropy",-0.732472293203412,0.0248098099951765,9
"agg1","bare.soil","B4_glcm_homogeneity",-0.698309948878675,0.0364128111336951,9
"agg1","bare.soil","SSD",0.00765556923133858,0.984404964102812,9
"agg1","grasses","B1_CV",0.236040479666147,0.54091213321517,9
"agg1","grasses","B1_RaoQ_w3",-0.33967420114247,0.371147897186313,9
