"predictor","prop_same_sign_shannon","prop_same_sign_turnover","prop_same_sign_richness","n_sites_shannon","mean_diff_shannon","median_diff_shannon","n_sites_turnover","mean_diff_turnover","median_diff_turnover","n_sites_richness","mean_diff_richness","median_diff_richness"
"B1_CV",0.266666666666667,0,0.266666666666667,8,0.093930007547825,-0.0348561148687798,0,NA,NA,8,2.79285,1.93455
"B1_RaoQ_w3",0.266666666666667,0.133333333333333,0.266666666666667,8,0.576640499426927,-0.301372842618655,4,2.22067805427262,0.695777513227514,8,1.2499,0.6306
"B1_RaoQ_w5",0.3,0.1,0.3,9,0.549790116005284,-0.30437454512994,3,3.90175715878325,1.99811428571429,9,1.25105555555556,0.4652
"B1_RaoQ_w7",0.266666666666667,0.133333333333333,0.266666666666667,8,0.741008881533394,-0.50314425317195,4,3.51219286908743,1.2322549689441,8,1.05485,0.28695
"B1_RaoQ_w9",0.266666666666667,0.133333333333333,0.266666666666667,8,0.841296381533394,-0.68154425317195,4,4.03474286908743,1.46720714285714,8,1.0372125,0.38265
"B1_glcm_ASM",0.3,0.233333333333333,0.233333333333333,9,0.0492829455332655,-0.04162378852676,7,-0.365736625991906,-0.390904347826087,7,1.54405714285714,1.915
"B1_glcm_contrast",0.6,0.6,0.466666666666667,18,0.858110030860135,0.29831348691546,18,1.72027458370078,1.17802037037037,14,-2.91269285714286,-2.3735
"B1_glcm_dissimilarity",0.433333333333333,0.5,0.333333333333333,13,-0.0664055157708108,-0.0292683490247801,15,-0.252130297538861,-0.2229,10,-3.47471,-2.9472
"B1_glcm_entropy",0.3,0.166666666666667,0.2,9,0.0300379491359711,-0.05524267292014,5,-0.307586441223833,-0.238259259259259,6,2.2568,1.90335
"B1_glcm_homogeneity",0.333333333333333,0.2,0.233333333333333,10,0.034687803049201,-0.01097097564492,6,-0.31864796027912,-0.281977777777778,7,0.984642857142857,1.9656
"B2_CV",0.266666666666667,0,0.266666666666667,8,0.036517507547825,-0.0569561148687798,0,NA,NA,8,2.737175,1.8744
"B2_RaoQ_w3",0.233333333333333,0.1,0.266666666666667,7,0.223408282760873,-0.92266000821959,3,2.85357218830552,1.55741428571429,8,0.9344375,-0.12665
"B2_RaoQ_w5",0.266666666666667,0.0666666666666667,0.3,8,0.0429806284947814,-0.977667781597815,2,5.60418791208791,5.60418791208791,9,0.865677777777778,0.1666
"B2_RaoQ_w7",0.266666666666667,0.0666666666666667,0.3,8,0.144730628494782,-1.13526778159781,2,6.77368791208791,6.77368791208791,9,0.752222222222222,0.528
"B2_RaoQ_w9",0.266666666666667,0.0666666666666667,0.3,8,0.338780628494781,-1.15791778159781,2,7.83978791208791,7.83978791208791,9,0.7624,0.8768
"B2_glcm_ASM",0.3,0.233333333333333,0.266666666666667,9,-0.14468888948546,-0.0450943107940502,7,-0.35751827027355,-0.335904347826087,8,-1.0443125,1.3788
"B2_glcm_contrast",0.5,0.433333333333333,0.4,15,1.34771060219104,0.47683165097522,13,2.89035765750099,1.47376363636364,12,-1.06013333333333,-1.75035
"B2_glcm_dissimilarity",0.433333333333333,0.366666666666667,0.333333333333333,13,-0.0129973160059162,-0.10127114010737,11,-0.254653386716464,-0.245324137931034,10,-0.44319,-0.0552
"B2_glcm_entropy",0.266666666666667,0.133333333333333,0.2,8,-0.0668703600129362,-0.0555778121439998,4,-0.312893236714976,-0.274502173913044,6,1.8627,1.82815
"B2_glcm_homogeneity",0.3,0.1,0.233333333333333,9,0.0625958416407301,0.00397621147323998,3,-0.331956199677939,-0.284,7,2.54175714285714,1.9601
"B3_CV",0.266666666666667,0,0.266666666666667,8,0.118630007547825,-0.00821153344822999,0,NA,NA,8,2.8220625,1.95195
"B3_RaoQ_w3",0.3,0.1,0.3,9,0.267767893783062,-0.21347114010737,3,1.93555715878325,0.709314285714286,9,1.6881,0.8073
"B3_RaoQ_w5",0.3,0.1,0.3,9,-0.0468876617724935,-0.75391295136786,3,2.60912382544991,0.937614285714286,9,1.29836666666667,0.3912
