"predictor","agg","prop_same_sign_shannon","prop_same_sign_turnover","prop_same_sign_richness","n_sites_shannon","mean_diff_shannon","median_diff_shannon","n_sites_turnover","mean_diff_turnover","median_diff_turnover","n_sites_richness","mean_diff_richness","median_diff_richness"
"B1_CV","agg1",0.333333333333333,1,0.333333333333333,1,-1.72887114010737,-1.72887114010737,3,-3.08580752688172,-2.695,1,-0.8825,-0.8825
"B1_CV","agg2",0.333333333333333,1,0.333333333333333,1,-2.20447114010737,-2.20447114010737,3,-3.91917419354839,-3.5434,1,-1.7309,-1.7309
"B1_CV","agg4",0.333333333333333,1,0.333333333333333,1,-2.08947114010737,-2.08947114010737,3,-3.87740752688172,-3.46,1,-1.6475,-1.6475
"B1_RaoQ_w3","agg1",0.666666666666667,0,0.333333333333333,2,1.86721635963103,1.86721635963103,0,NA,NA,1,-5.2525,-5.2525
"B1_RaoQ_w3","agg2",0.666666666666667,0,0.333333333333333,2,6.17431635963102,6.17431635963102,0,NA,NA,1,-2.0318,-2.0318
"B1_RaoQ_w3","agg4",0.666666666666667,0,0.333333333333333,2,16.630966359631,16.630966359631,0,NA,NA,1,6.6293,6.6293
"B1_RaoQ_w5","agg1",0.333333333333333,1,0.333333333333333,1,-14.0251711401074,-14.0251711401074,3,-7.37134086021505,-4.8039,1,-2.9914,-2.9914
"B1_RaoQ_w5","agg2",0.333333333333333,1,0.333333333333333,1,-13.6097711401074,-13.6097711401074,3,-7.25174086021505,-4.425,1,-2.6125,-2.6125
"B1_RaoQ_w5","agg4",0.333333333333333,1,0.333333333333333,1,-10.7998711401074,-10.7998711401074,3,-5.88270752688172,-3.5857,1,-1.7732,-1.7732
"B1_RaoQ_w7","agg1",0.333333333333333,1,0.333333333333333,1,-13.6032711401074,-13.6032711401074,3,-6.90927419354839,-4.0549,1,-2.2424,-2.2424
"B1_RaoQ_w7","agg2",0.333333333333333,1,0.333333333333333,1,-11.7341711401074,-11.7341711401074,3,-5.77694086021505,-2.8472,1,-0.960999999999999,-0.960999999999999
"B1_RaoQ_w7","agg4",0.333333333333333,1,0.333333333333333,1,-7.45727114010737,-7.45727114010737,3,-3.64140752688172,-1.9527,1,0.2742,0.2742
